Portfolio,Return,Volatility,AAPL,GOOGL,MSFT,AMZN,TSLA,NFLX,JPM,GS,BND,VOO
Portfolio 62,0.0013536317586962836,0.007557928070246132,0.09112263677405591,0.10633856048842548,0.09641117150831677,0.09627509904359609,0.10543304913722215,0.1071961538618025,0.10012436545199975,0.11105177502227791,0.08385989226471549,0.10218729644758799
Portfolio 63,0.0014144387178696373,0.007533552170372919,0.08715460092093007,0.10917179313139917,0.09480702399702644,0.09461012937093954,0.1078615330484456,0.11041271668586174,0.10017995477056937,0.11599173730757861,0.07664552865956836,0.10316498210768116
Portfolio 64,0.001475245677042991,0.007515327976103016,0.08318656506780425,0.11200502577437287,0.0932028764857361,0.09294515969828299,0.11029001695966904,0.11362927950992097,0.10023554408913898,0.12093169959287933,0.06943116505442122,0.10414266776777431
Portfolio 65,0.0015360526362163446,0.007503300311796988,0.0792185292146784,0.11483825841734657,0.09159872897444576,0.09128019002562643,0.1127185008708925,0.1168458423339802,0.10029113340770861,0.12587166187818005,0.062216801449274085,0.10512035342786748
Portfolio 66,0.0015968595953896984,0.00749749899937165,0.07525049336155255,0.11767149106032028,0.08999458146315543,0.08961522035296987,0.11514698478211594,0.12006240515803943,0.10034672272627822,0.13081162416348074,0.05500243784412694,0.10609803908796064
Portfolio 67,0.001657666554563052,0.007497938491218441,0.07128245750842674,0.12050472370329395,0.08839043395186509,0.08795025068031333,0.11757546869333937,0.12327896798209864,0.10040231204484784,0.13575158644878144,0.04778807423897983,0.10707572474805381
Portfolio 68,0.0017184735137364055,0.007504617690899466,0.0673144216553009,0.12333795634626764,0.08678628644057476,0.08628528100765678,0.12000395260456283,0.12649553080615789,0.10045790136341745,0.14069154873408218,0.0405737106338327,0.10805341040814696
Portfolio 69,0.0017792804729097594,0.0075175199667827566,0.06334638580217504,0.12617118898924137,0.08518213892928442,0.08462031133500023,0.12243243651578627,0.1297120936302171,0.10051349068198707,0.1456315110193829,0.03335934702868555,0.10903109606824012
Portfolio 70,0.0018400874320831134,0.007536613358222885,0.05937834994904921,0.12900442163221507,0.08357799141799407,0.08295534166234367,0.1248609204270097,0.13292865645427634,0.10056908000055668,0.15057147330468362,0.02614498342353841,0.11000878172833328
Portfolio 71,0.0019008943912564667,0.0075618509683581985,0.05541031409592337,0.1318376542751888,0.08197384390670374,0.08129037198968711,0.12728940433823316,0.13614521927833556,0.1006246693191263,0.15551143558998431,0.01893061981839128,0.11098646738842642
Portfolio 72,0.0019617013504298203,0.007593171532365515,0.05144227824279752,0.13467088691816245,0.08036969639541341,0.07962540231703058,0.1297178882494566,0.1393617821023948,0.10068025863769592,0.16045139787528506,0.011716256213244153,0.11196415304851959
Portfolio 73,0.0020225083096031744,0.007630500145347112,0.047474242389671684,0.13750411956113612,0.07876554888412306,0.07796043264437402,0.13214637216068006,0.14257834492645402,0.10073584795626553,0.16539136016058578,0.0045018926080970245,0.1129418387086128
Portfolio 74,0.002083315268768594,0.007682747854941939,0.04160788664665968,0.14071618469397007,0.07605454177688326,0.0751682393319759,0.13481817346803776,0.14630208412719226,0.10024027896814311,0.17141551518159764,0.0,0.11367709580554039
Portfolio 75,0.002144122227920845,0.007754847798889674,0.03259088623707755,0.14455699873791247,0.0715064779642906,0.070505191077002,0.137893809060912,0.1508675848006451,0.09882995162518973,0.17923910668246826,2.7755575615628914e-17,0.11400999381450233
Portfolio 76,0.002204929187073097,0.007831334157712835,0.023573885827495256,0.14839781278185502,0.06695841415169783,0.065842142822028,0.14096944465378633,0.15543308547409804,0.09741962428223634,0.18706269818333898,0.0,0.11434289182346428
Portfolio 77,0.002265736146225348,0.00791207972154365,0.014556885417913126,0.15223862682579742,0.0624103503391052,0.061179094567054094,0.14404508024666063,0.1599985861475509,0.09600929693928298,0.19488628968420962,0.0,0.11467578983242623
Portfolio 78,0.0023265431053776,0.007996955475357566,0.005539885008330955,0.1560794408697399,0.057862286526512485,0.05651604631208016,0.14712071583953487,0.16456408682100376,0.0945989695963296,0.2027098811850802,0.0,0.11500868784138815
Portfolio 79,0.0023873500644936633,0.008097395016142189,0.0,0.16016625663092923,0.051456145657578695,0.04996608087117392,0.15025043287564163,0.16955735342149797,0.09211756493833399,0.21177842535353472,0.0,0.11470774025131002
Portfolio 80,0.0024481570235520707,0.008221779851700082,0.0,0.16464501256899877,0.04208963907140578,0.040409800417959704,0.1534663147184973,0.17523215450469554,0.08792967531345146,0.22283047993891364,1.3877787807814457e-17,0.11339692346607794
Portfolio 81,0.0025089639826104786,0.008352169071428864,0.0,0.16912376850706845,0.0327231324852329,0.030853519964745474,0.15668219656135296,0.18090695558789305,0.08374178568856894,0.23388253452429258,0.0,0.11208610668084587
Portfolio 82,0.002569770941668886,0.008488285978404515,0.0,0.17360252444513805,0.023356625899060013,0.021297239511531313,0.15989807840420858,0.1865817566710906,0.07955389606368643,0.24493458910967147,0.0,0.1107752898956138
Portfolio 83,0.0026305779007272934,0.00862985955216879,0.0,0.17808128038320753,0.013990119312887114,0.01174095905831711,0.1631139602470642,0.1922565577542881,0.07536600643880392,0.25598664369505036,2.7755575615628914e-17,0.10946447311038175
Portfolio 84,0.0026913848597857008,0.008776625736276644,0.0,0.18256003632127715,0.004623612726714271,0.002184678605102894,0.1663298420899199,0.19793135883748558,0.07117811681392142,0.26703869828042925,0.0,0.10815365632514971
Portfolio 85,0.0027521918189546525,0.008985327596546435,0.0,0.18642495324900338,2.7755575615628914e-17,0.0,0.16759248728266318,0.2042608401162626,0.05718458936381424,0.28444851991427034,0.0,0.10008861007398648
Portfolio 86,0.0028129987782048596,0.009225125489852617,0.0,0.18994148413881884,6.938893903907228e-17,6.938893903907228e-17,0.16775726254194556,0.2109517579578316,0.0376992405147476,0.3054110423212079,0.0,0.08823921252544843
Portfolio 87,0.0028738057374550676,0.009477132322523516,8.326672684688674e-17,0.19345801502863444,9.71445146547012e-17,0.0,0.16792203780122789,0.2176426757994007,0.018213891665680826,0.3263735647281458,2.7755575615628914e-17,0.0763898149769103
Portfolio 88,0.0029346126967367387,0.009748974630971019,0.0,0.1967000903339221,5.551115123125783e-17,2.7755575615628914e-17,0.1676347532950517,0.224227343754192,0.0,0.34798606679448946,0.0,0.06345174582234477
Portfolio 89,0.00299541965646911,0.010161132035809234,6.938893903907228e-17,0.19601053164558688,8.326672684688674e-17,0.0,0.16087161753563128,0.2292899597259929,0.0,0.37890966423707473,0.0,0.03491822685571429
Portfolio 90,0.003056226616201482,0.010594844996495541,0.0,0.19532097295725181,1.3877787807814457e-16,1.5265566588595902e-16,0.1541084817762109,0.23435257569779375,0.0,0.40983326167966005,0.0,0.006384707889083588
Portfolio 91,0.003117033575615436,0.011284674902573169,0.0,0.18159948089341682,0.0,0.0,0.12849464973389965,0.23189410308251135,0.0,0.45801176629017215,2.220446049250313e-16,0.0
Portfolio 92,0.0031778405349376015,0.0121066784961486,1.3877787807814457e-16,0.16412134981445664,5.412337245047638e-16,0.0,0.09744683801427319,0.2272675703637624,6.938893903907228e-17,0.5111642418075076,0.0,0.0
Portfolio 93,0.0032386474942597684,0.012985993088574227,2.7755575615628914e-17,0.14664321873549618,1.249000902703301e-16,5.551115123125783e-17,0.06639902629464677,0.22264103764501364,0.0,0.5643167173248437,0.0,0.0
Portfolio 94,0.003299454453581933,0.013911755623174829,0.0,0.12916508765653562,4.440892098500626e-16,5.134781488891349e-16,0.0353512145750199,0.21801450492626462,0.0,0.6174691928421796,0.0,0.0
Portfolio 95,0.0033602614129040983,0.014875296577763531,0.0,0.1116869565775753,3.0531133177191805e-16,1.3877787807814457e-16,0.004303402855393601,0.21338797220751582,0.0,0.6706216683595153,1.6653345369377348e-16,2.7755575615628914e-17
Portfolio 96,0.0034210683722782553,0.015878032143214437,0.0,0.07441040262302473,4.163336342344337e-17,5.273559366969494e-16,2.7755575615628914e-17,0.19398942596595253,0.0,0.7316001714110224,0.0,8.326672684688674e-17
Portfolio 97,0.003481875331660777,0.016918811930516354,0.0,0.03394811403632614,1.790234627208065e-15,5.828670879282072e-16,1.3877787807814457e-17,0.17221393710820665,1.3877787807814457e-16,0.7938379488554658,0.0,5.273559366969494e-16
Portfolio 98,0.0035426822911459113,0.018037262952343674,0.0,5.134781488891349e-16,7.632783294297951e-16,4.163336342344337e-16,0.0,0.1424753468748366,0.0,0.8575246531251627,0.0,0.0
Portfolio 99,0.0036034892511657784,0.019421859056921557,0.0,0.0,3.0531133177191805e-16,1.304512053934559e-15,0.0,0.07123767314407331,0.0,0.928762326855927,1.5265566588595902e-16,0.0
Portfolio 100,0.003663596635043868,0.02080788681140896,0.0,0.0,0.0,0.0,1.5265566588595902e-16,0.0008195795554773039,3.469446951953614e-16,0.9991804204445242,7.077671781985373e-16,2.636779683484747e-16
